id,name,supplier_id,cost
95,Aspic - Amber,33,2.88
96,Leeks - Large,2,2.42
97,Leeks - Large,17,2.38
98,Leeks - Large,33,0.71
99,Easy Off Oven Cleaner,18,0.56
100,Petit Baguette,21,2.1
101,Chives - Fresh,12,2.89
102,Chives - Fresh,28,2.24
103,Tea - Herbal Sweet Dreams,24,0.04
104,Tea - Herbal Sweet Dreams,33,4.21
105,Dasheen,32,1.4
106,Dasheen,34,1.45
107,"Nut - Walnut, Chopped",26,7.85
108,Pop Shoppe Cream Soda,29,9.62
109,Island Oasis - Magarita Mix,17,2.82
110,Chicken - Leg / Back Attach,13,0.59
111,Loquat,7,1.43
112,Loquat,26,0.19
113,"Wine - Red, Black Opal Shiraz",16,5.28
114,"Wine - Red, Black Opal Shiraz",35,1.43
115,Vacuum Bags 12x16,3,1.59
116,Bag - Clear 7 Lb,16,0.55
117,"Soup - Beef Conomme, Dry",32,3.67
118,Appetizer - Veg Assortment,6,1.55
119,Cookies - Englishbay Wht,20,8.84
120,Coffee - Decafenated,4,1.23
121,Coffee - Decafenated,8,2.17
122,Fork - Plastic,5,0.54
123,Foie Gras,18,0.13
124,Country Roll,9,1.01
125,Country Roll,28,1.16
126,Sauerkraut,22,2.82
127,Hagen Daza - Dk Choocolate,15,1.74
128,Cheese - Valancey,11,4.92
129,Tomato - Plum With Basil,16,0.41
130,Snapple Raspberry Tea,6,2.29
131,Rice Paper,7,1.04
132,Rice Paper,12,1.59
133,Rice Paper,21,2.2
134,Rice Paper,24,1.29
135,Pastry - French Mini Assorted,11,1.49
136,Wine - Rubyport,2,2.64
137,"Lemonade - Kiwi, 591 Ml",28,3.44
138,"Lemonade - Kiwi, 591 Ml",31,4.24
139,"Salmon - Atlantic, No Skin",22,1.79
140,Flour - Rye,2,11.39
141,Oil - Sunflower,28,2.45
142,Oil - Sunflower,28,1.18
143,Tomatillo,4,1.09
144,Flour - Chickpea,30,0.39
145,Soup - Campbells Chili,13,0.51
146,Cheese - Marble,8,2.41
147,Cheese - Marble,9,2.66
148,"Capon - Breast, Double, Wing On",28,3.3
149,Pernod,12,4.74
150,Sauce - Caesar Dressing,11,1.68
151,Chicken - White Meat With Tender,21,0.96
152,"Yogurt - Raspberry, 175 Gr",10,2.24
153,Compound - Orange,8,0.81
154,Calypso - Lemonade,3,0.22
155,Sesame Seed Black,10,2.26
156,"Pork - Bacon,back Peameal",19,3.35
157,Allspice - Jamaican,26,0.71
158,Coffee Cup 12oz 5342cd,1,3.35
159,Bread - Sour Batard,22,0.81
160,Seaweed Green Sheets,12,2.28
161,Beef - Montreal Smoked Brisket,3,4.59
162,Lemon Pepper,30,0.68
163,Wine - Delicato Merlot,32,1.14
164,"Juice - Orange, 341 Ml",28,2.74
165,Crab Brie In Phyllo,11,2.02
166,Muffin - Bran Ind Wrpd,5,0.39
167,Muffin - Bran Ind Wrpd,5,0.39
168,Kellogs Special K Cereal,15,2.52
169,Kellogs Special K Cereal,18,0.81
170,Ecolab - Mikroklene 4/4 L,20,1.17
171,Cabbage - Nappa,28,0.12
172,Energy Drink Bawls,29,0.95
173,"Juice - Apple, 341 Ml",8,5.42
174,Paper - Brown Paper Mini Cups,19,8.07
175,Cookies Almond Hazelnut,4,0.43
176,"Chilli Paste, Ginger Garlic",8,0.34
177,Maple Syrup,11,4.31
178,Soup Campbells Beef With Veg,18,1.98
179,Milk - Buttermilk,29,2.25
180,Milk - Buttermilk,29,2.94
181,"Soup - French Onion, Dry",6,3.99
182,Chicken - Tenderloin,11,1.91
183,Beer - Heinekin,2,0.28
184,Browning Caramel Glace,3,1.61
185,Tobasco Sauce,4,0.51
186,Tobasco Sauce,14,0.79
187,Coffee - Decaffeinato Coffee,3,7.15
188,Cheese - Brick With Pepper,35,1.31
189,Chip - Potato Dill Pickle,31,1.92
190,Peppercorns - Green,5,0.94
191,Peppercorns - Green,7,2.2
192,Peppercorns - Green,13,1.76
193,Island Oasis - Peach Daiquiri,22,0.7
194,Sage Derby,25,4
195,"Pork - Bacon, Sliced",32,2.58
196,"Pork - Bacon, Sliced",33,1.52
197,"Tart Shells - Sweet, 3",15,5.61
198,"Tart Shells - Sweet, 3",26,3.15
199,Bay Leaf Fresh,28,2.2
200,Longos - Cheese Tortellini,35,4.4
201,Paper Towel Touchless,33,2.63
202,Muffin Mix - Carrot,2,0.34
203,Sambuca Cream,28,0.1
204,Sambuca Cream,28,1.66
205,Plasticforkblack,27,3.12
206,"Cheese - Brie,danish",19,3.24
207,"Cheese - Brie,danish",32,5.64
208,"Pasta - Detalini, White, Fresh",34,2.11
209,Napkin White,25,2.14
210,"Juice - Apple, 500 Ml",11,4.15
211,Wine - Kwv Chenin Blanc South,2,1.56
212,Table Cloth 54x72 Colour,1,2.96
213,Table Cloth 54x72 Colour,6,4.8
214,Flour - Teff,5,0.51
215,Cheese - Pont Couvert,30,4.84
216,Chocolate Liqueur - Godet White,6,4.51
217,Brandy Cherry - Mcguinness,30,3.05
218,"Lemonade - Island Tea, 591 Ml",30,1.07
219,Beer - Blue,35,3.33
220,"Mushroom - Morels, Dry",10,1.23
221,Pears - Bartlett,28,0.86
222,"Tart Shells - Sweet, 4",25,0.02
223,Yogurt - Assorted Pack,27,1.74
224,Shark - Loin,20,1.49
225,Apricots - Dried,7,1.64
226,Scampi Tail,12,2.81
227,Kolrabi,13,0.55
228,"Garlic - Primerba, Paste",21,1.78
229,"Pork - Tenderloin, Fresh",34,1.59
230,"Soup - Knorr, Country Bean",26,0.54
231,Shichimi Togarashi Peppeers,25,0.65
232,Shortbread - Cookie Crumbs,32,2.38
233,Shrimp - Tiger 21/25,26,1.24
234,Ice Cream Bar - Drumstick,25,2.39
235,Island Oasis - Ice Cream Mix,26,0.31
236,Island Oasis - Ice Cream Mix,35,2.8
237,Ice Cream Bar - Hagen Daz,14,1.34
238,Squash - Guords,28,0.58
239,Tomato - Peeled Italian Canned,22,1.64
240,Chips - Doritos,30,1.96
241,Nantucket - 518ml,19,0.43
242,Vinegar - Sherry,4,0.52
243,"Tarragon - Primerba, Paste",21,1.32
244,"Tarragon - Primerba, Paste",27,3.1
245,Salt And Pepper Mix - White,5,0.08
246,Whmis - Spray Bottle Trigger,15,1.58
247,Vodka - Moskovskaya,6,3.01
248,Syrup - Monin - Granny Smith,33,0.7
249,Muffin - Carrot Individual Wrap,16,1.76
250,Mix Pina Colada,25,0.9
251,"Pasta - Spaghetti, Dry",2,1.92
252,Cheese - Colby,7,4.8
253,"Veal - Brisket, Provimi,bnls",31,0.88
254,Wine - Clavet Saint Emilion,15,1.59
255,Cake - Mini Potato Pancake,3,0.64
256,Chevril,14,0.48
257,Peas Snow,27,2.56
258,Pate Pans Yellow,27,1.76
259,Bread Base - Toscano,2,0.6
260,"Pasta - Fusili, Dry",1,0.3
261,Pork Ham Prager,32,2.62
262,Sauce - Balsamic Viniagrette,11,0.18
263,"Mushrooms - Black, Dried",13,0.47
264,Bread Bowl Plain,31,3.71
265,"Pepper - Green, Chili",7,6.95
266,"Pepper - Green, Chili",14,1.41
267,"Pepper - Green, Chili",27,3.76
268,Container - Foam Dixie 12 Oz,11,4.4
269,Lid - 3oz Med Rec,6,4.85
270,Tray - 16in Rnd Blk,32,0.88
271,Extract - Raspberry,17,0.93
272,Potato - Sweet,3,0.44
273,Goat - Whole Cut,17,0.59
274,Goat - Whole Cut,26,2.38
275,Coffee - Hazelnut Cream,1,0.18
276,Coffee - Hazelnut Cream,6,0.01
277,Yoplait - Strawbrasp Peac,19,2.26
278,Yoplait - Strawbrasp Peac,26,0.95
279,Veal - Leg,12,2.24
280,Sultanas,20,12.05
281,Lettuce - Escarole,12,0.86
282,Lettuce - Escarole,21,2.7
283,"Carrots - Purple, Organic",17,0.12
284,Hand Towel,31,2.34
285,Hand Towel,34,1.93
286,Sprouts - Brussel,29,0.36
287,Beef - Prime Rib Aaa,5,0.86
288,Beef - Tenderloin - Aa,30,0.81
289,Bonito Flakes - Toku Katsuo,24,1.44
290,Triple Sec - Mcguinness,2,3.84
291,Wine - Cousino Macul Antiguas,13,2.95
292,Wine - Cousino Macul Antiguas,30,5.25
293,"Lentils - Green, Dry",15,0.32
294,Beef - Kobe Striploin,29,0.89
295,Beef - Kobe Striploin,32,0.66
296,Lobster - Live,21,0.57
297,"Wine - Magnotta - Red, Baco",24,0.98
298,Foil - 4oz Custard Cup,20,1.7
299,Ginger - Crystalized,21,1.86
300,Eggwhite Frozen,2,1.68
301,Spice - Chili Powder Mexican,7,0.61
302,Sword Pick Asst,9,1.64
303,Butcher Twine 4r,6,1.53
304,"Wine - White, Riesling, Semi - Dry",16,4.18
305,"Wine - White, Riesling, Semi - Dry",31,1.35
306,Bread Base - Italian,20,0.19
307,Peas - Frozen,33,2.84
308,Tart - Lemon,7,0.96
309,Tart - Lemon,27,3.77
310,Coffee - Irish Cream,13,2.3
311,Kumquat,19,4.08
312,Kumquat,35,1.98
313,Flower - Commercial Bronze,32,0.43
314,Strawberries - California,20,2.6
315,Strawberries - California,24,0.42
316,Wine - Magnotta - Cab Franc,15,1.76
317,Foam Tray S2,12,1.93
318,"Pork - Loin, Center Cut",15,1.13
319,Five Alive Citrus,15,0.21
320,Five Alive Citrus,17,1.75
321,Five Alive Citrus,18,1.59
322,Horseradish - Prepared,8,3.17
323,Veal - Bones,32,0.11
324,"Crab - Claws, Snow 16 - 24",27,3.34
325,Gatorade - Lemon Lime,12,2.33
326,Gatorade - Lemon Lime,30,1.82
327,"Jam - Raspberry,jar",6,0.18
328,Lettuce - Curly Endive,13,0.14
329,"Quail - Whole, Boneless",24,2.15
330,"Sauce - White, Mix",15,1.73
331,"Sauce - White, Mix",22,1.73
332,Marjoram - Fresh,13,4.89
333,Hog / Sausage Casing - Pork,13,5.68
334,Kaffir Lime Leaves,17,2.38
335,Wheat - Soft Kernal Of Wheat,10,3.35
336,Wheat - Soft Kernal Of Wheat,34,2.09
337,Soap - Pine Sol Floor Cleaner,2,1.65
338,Scallops - Live In Shell,20,4.04
339,Rum - Mount Gay Eclipes,5,2.08
340,Rum - Mount Gay Eclipes,22,0.89
341,"Oregano - Dry, Rubbed",6,0.19
342,Cake - Night And Day Choclate,25,2.71
343,Tomatoes,26,2.36
344,White Baguette,5,1.02
345,White Baguette,13,1.21
346,Vaccum Bag - 14x20,14,0.11
347,Vinegar - Raspberry,19,1.48
348,"Jam - Strawberry, 20 Ml Jar",19,2.83
349,Wine - Merlot Vina Carmen,6,2.72
350,"Oil - Olive, Extra Virgin",12,5.29
351,"Oil - Olive, Extra Virgin",15,1.13
352,Table Cloth 90x90 Colour,18,0.09
353,Table Cloth 90x90 Colour,29,0.09
354,Cabbage - Green,31,1.94
355,Oil - Margarine,6,4.03
356,Oil - Margarine,19,0.37
357,Glass Clear 7 Oz Xl,14,0.64
358,Glass Clear 7 Oz Xl,25,1.39
359,Oil - Safflower,30,2.22
360,Wine - Domaine Boyar Royal,11,0.31
361,Pimento - Canned,9,0.4
362,Sauce - Sesame Thai Dressing,32,2.37
363,Versatainer Nc - 888,8,2.51
364,Juice - Orangina,7,1.62
365,Juice - Orangina,30,1.75
366,External Supplier,15,3.72
367,Pan Grease,9,1.25
368,Onions Granulated,6,2.07
369,Beets - Pickled,15,2.42
370,Glass Clear 8 Oz,2,1.22
371,Beer - Maudite,26,1.91
372,Cleaner - Comet,29,1.03
373,Goldschalger,28,6.67
374,Olives - Stuffed,10,1.27
375,Olives - Stuffed,33,0.63
376,Bouillion - Fish,34,2.02
377,Rosemary - Fresh,2,1.28
378,Brandy Apricot,30,1.01
379,Thyme - Fresh,18,0.82
380,Shrimp - Black Tiger 26/30,31,0.22
381,Longos - Burritos,15,2.36
382,Beef - Tenderloin Tails,1,2.05
383,Beef - Tenderloin Tails,15,1.34
384,Beef - Tenderloin Tails,22,2.25
385,Beef - Tenderloin Tails,24,2.25
386,Honey - Liquid,29,0.67
387,"Juice - Apple, 1.36l",26,0.4
388,Plasticspoonblack,5,3.27
389,Ecolab - Hobart Upr Prewash Arm,10,1.56
390,Ecolab - Hobart Upr Prewash Arm,26,0.28
391,Cheese Cloth,26,1.88
392,Wooden Mop Handle,26,0.38
393,Herb Du Provence - Primerba,1,1.61
394,Asparagus - Frozen,10,0.29
395,Momiji Oroshi Chili Sauce,13,2.47
396,Momiji Oroshi Chili Sauce,19,2.9
397,Table Cloth 62x114 White,22,2.1
398,Sausage - Andouille,14,3.43
399,Sausage - Andouille,18,2.11
400,Bread - Rye,17,1.9
401,Venison - Striploin,29,2.1
402,Wine - Shiraz Wolf Blass Premium,32,0.87
403,Veal - Heart,1,1.83
404,Veal - Heart,2,0.26
405,Emulsifier,35,1.86
406,Salami - Genova,21,1.9
407,Salmon - Fillets,25,8.88
408,Salmon - Fillets,32,1.67
409,Lotus Leaves,27,1.03
410,Red Currants,16,0.94
411,Red Currants,30,1.25
412,Pepper - Cubanelle,2,3.66
413,Pepper - Cubanelle,27,2.14
414,Melon - Honey Dew,35,0.81
415,Lemonade - Pineapple Passion,1,1.1
416,Lemonade - Pineapple Passion,11,0.65
417,Carrots - Jumbo,24,0.25
418,Arizona - Green Tea,10,3.02
419,Spic And Span All Purpose,22,1.12
420,Steamers White,35,1.62
421,"Yogurt - Cherry, 175 Gr",14,2.46
422,Crackers - Soda / Saltins,28,0.47
423,Sauce - Fish 25 Ozf Bottle,7,0.65
424,Cream - 10%,31,0.75
425,"Beef - Bones, Marrow",7,2.34
426,Cotton Wet Mop 16 Oz,17,0.36
427,Cotton Wet Mop 16 Oz,29,0.73
428,Pork - Smoked Back Bacon,2,2.05
429,Pork - Smoked Back Bacon,32,1.45
430,Wine - Montecillo Rioja Crianza,2,0.82
431,Wine - Montecillo Rioja Crianza,2,2.13
432,Cream - 35%,15,0.75
433,Cardamon Seed / Pod,17,1.16
434,Chutney Sauce,1,3.26
435,Chutney Sauce,32,2.72
436,"Pork - Back, Long Cut, Boneless",10,2.92
437,Ice Cream - Fudge Bars,11,1.2
438,Chivas Regal - 12 Year Old,35,0.42
439,Gingerale - Diet - Schweppes,11,1.01
440,Onions - Cooking,11,5.95
441,Onions - Cooking,12,0.96
442,Wine - Chateau Aqueria Tavel,18,1.95
443,"Yogurt - Banana, 175 Gr",28,1.44
444,Dried Figs,9,1.76
445,Lamb Leg - Bone - In Nz,33,6.81
446,Lettuce - Baby Salad Greens,9,0.39
447,Cheese - Mozzarella,20,1.05
448,Bagel - Sesame Seed Presliced,15,1.95
449,Bagel - Sesame Seed Presliced,26,1.93
450,Bagel - Sesame Seed Presliced,31,0.76
451,"Lemonade - Black Cherry, 591 Ml",11,0.76
452,"Juice - Clamato, 341 Ml",11,2.1
453,Bread - Multigrain,22,1.9
454,Beer - Mill St Organic,35,2.33
455,Olives - Kalamata,19,2.21
456,"Lamb - Loin, Trimmed, Boneless",9,1.04
457,Oil - Avocado,2,1.16
458,Oil - Avocado,19,0.91
459,"Cake Circle, Foil, Scallop",35,0.62
460,Pepper - Chili Powder,4,2.05
461,Beans - French,7,0.43
462,Guava,6,1.65
463,"Potatoes - Instant, Mashed",30,1.27
464,Bacardi Limon,21,1.15
465,Devonshire Cream,9,3.02
466,"Coke - Classic, 355 Ml",25,0.09
467,Sauce - Hp,14,1.52
468,Table Cloth 144x90 White,24,1.75
469,Eggplant Oriental,32,2.33
470,Eggplant Oriental,32,0.32
471,Lettuce - Boston Bib - Organic,35,1.47
472,Black Currants,12,4.53
473,Wine - Fume Blanc Fetzer,21,2.74
474,Mustard - Seed,29,1.72
475,"Stock - Chicken, White",20,0.48
476,"Quail - Whole, Bone - In",14,0.86
477,"Quail - Whole, Bone - In",28,1.63
478,"Placemat - Scallop, White",2,1.18
479,Remy Red Berry Infusion,16,2.93
480,Remy Red Berry Infusion,22,2.1
481,Beans - Green,2,0.71
482,Lamb - Sausage Casings,10,2.96
483,Clams - Canned,13,2.34
484,Clams - Canned,20,0.51
485,Vector Energy Bar,35,0.96
486,Crackers - Water,30,0.42
487,Gherkin,20,0.25
488,"Nut - Hazelnut, Ground, Natural",32,4.06
489,Flower - Leather Leaf Fern,8,1.56
490,Onion Powder,29,1.61
491,"Bread - Roll, Canadian Dinner",26,0.82
492,"Pail - 4l White, With Handle",7,1.36
493,Breadfruit,2,0.55
494,Breadfruit,15,3.04
495,Tomato Paste,16,2.84
496,Cumin - Ground,11,1.8
497,"Juice - Grape, White",2,2.06
498,Pastry - Chocolate Chip Muffin,6,2.17
499,Lettuce - Belgian Endive,35,2.04
500,"Wine - White, Ej",1,0.99
501,Soup - Tomato Mush. Florentine,27,2.77
502,"Veal - Chops, Split, Frenched",2,0.09
503,Vinegar - Cider,27,1.29
504,Daikon Radish,10,2.46
505,Ginger - Ground,6,0.09
506,Ginger - Ground,35,1.27
507,Squid - U - 10 Thailand,27,0.51
508,Wine - Baron De Rothschild,1,2.86
509,Samosa - Veg,30,0.46
510,Samosa - Veg,35,0.92
511,"Orange - Canned, Mandarin",10,0.76
512,Pastry - Choclate Baked,5,0.02
513,Parsley Italian - Fresh,2,4.77
514,Bacardi Raspberry,14,4.43
515,"Cheese - Cheddar, Old White",32,0.19
516,Towel Dispenser,12,1.59
517,Towel Dispenser,14,0.36
518,Towel Dispenser,32,3.61
519,Beer - Creemore,14,0.44
520,Beer - Creemore,34,0.73
521,Spice - Paprika,1,0.82
522,Spice - Paprika,35,1.7
523,"Tendrils - Baby Pea, Organic",27,0.05
524,"Iced Tea - Lemon, 460 Ml",34,0.6
525,Oil - Grapeseed Oil,15,4.13
526,Lambcasing,19,0.5
527,Eggplant Italian,25,0.8
528,Potatoes - Mini Red,9,3.27
529,Wine - Dubouef Macon - Villages,25,2.24
530,Ginger - Fresh,8,0.71
531,"Trout - Rainbow, Frozen",25,2.59
532,Wine - Riesling Dr. Pauly,2,0.36
533,Wine - Riesling Dr. Pauly,5,2.55
534,Oil - Olive Bertolli,13,1.73
535,Banana - Green,28,1.11
536,"Halibut - Whole, Fresh",11,1.22
537,Beer - Pilsner Urquell,10,1.1
538,Bag - Regular Kraft 20 Lb,24,1.19
539,Lamb - Rack,8,1.11
540,Cup - 8oz Coffee Perforated,6,1.3
541,Mushroom - Crimini,33,2.02
542,Wine - Balbach Riverside,29,0.55
543,French Kiss Vanilla,27,2.25
544,Tea - Vanilla Chai,21,0.11
545,"Beef - Outside, Round",22,1.65
546,Chef Hat 25cm,9,2.04
547,Chef Hat 25cm,22,0.65
548,Compound - Pear,28,4.54
549,Compound - Raspberry,22,1.96
550,"Nut - Almond, Blanched, Ground",29,1.87
551,Blackberries,24,1.07
552,Puree - Strawberry,35,3.55
553,Gloves - Goldtouch Disposable,27,1.28
554,"Lamb - Whole, Frozen",25,0.63
555,Canada Dry,32,0.77
556,Tumeric,21,2.29
557,Lotus Rootlets - Canned,35,0.34
558,"Turkey - Breast, Double",1,1.5
559,"Turkey - Breast, Double",16,0.61
560,Fruit Salad Deluxe,12,0.5
561,Wine - Ej Gallo Sierra Valley,19,0.97
562,Fond - Neutral,22,2.01
563,Veal - Kidney,30,2.38
564,"Beets - Candy Cane, Organic",10,1.02
565,"Beets - Candy Cane, Organic",20,0.63
566,"Beets - Candy Cane, Organic",26,5.26
567,Appetizer - Tarragon Chicken,12,3.62
568,Garbage Bags - Black,11,1.34
569,Horseradish Root,25,1.5
570,Beef Ground Medium,18,0.16
571,Water - Spring 1.5lit,12,1.54
572,Cumin - Whole,21,0.52
573,Compound - Passion Fruit,21,3.19
574,Soup - Campbells - Tomato,31,0.11
575,Crab - Soft Shell,10,2.45
576,Wine - Red Oakridge Merlot,21,2.15
577,Pepper - Pablano,29,0.49
578,Yams,26,0.39
579,"Crab - Back Fin Meat, Canned",19,4.06
580,Beer - Paulaner Hefeweisse,3,3.43
581,Poppy Seed,2,0.49
582,Pork - Backfat,3,1.93
583,"Squash - Pattypan, Yellow",16,1.1
584,"Squash - Pattypan, Yellow",32,0.17
585,"Squash - Pattypan, Yellow",32,0.17
586,"Beef - Baby, Liver",14,1.88
587,"Beef - Baby, Liver",31,0.07
588,Roe - White Fish,16,0.08
589,Cheese - Sheep Milk,17,0.3
590,Praline Paste,7,0.67
591,Wine - Zinfandel Rosenblum,14,5.41
592,Muffin Carrot - Individual,12,0.26
593,Chocolate Bar - Coffee Crisp,11,3.46
594,Cleaner - Bleach,7,0.26
595,Cheese - Comte,27,2.01
596,Fruit Mix - Light,18,3.14
597,Fruit Mix - Light,32,0.6
598,"Pasta - Gnocchi, Potato",12,2.41
599,Pie Filling - Pumpkin,6,2.72
600,Sorrel - Fresh,2,2.65
601,Eggplant - Baby,25,3.26
602,Pork - Side Ribs,26,0.91
603,Wine - Marlbourough Sauv Blanc,29,1.47
604,Pepper - Sorrano,14,0.49
605,Pepper - Sorrano,35,1.54
606,Liners - Baking Cups,15,0.56
607,Coffee - French Vanilla Frothy,4,5.95
608,"Water - Mineral, Carbonated",7,5.15
609,Cup Translucent 9 Oz,20,0.52
610,Cup Translucent 9 Oz,24,1.32
611,Cup Translucent 9 Oz,35,0.28
612,Mini - Vol Au Vents,6,1.91
613,Raspberries - Fresh,2,0.96
614,Raspberries - Fresh,14,0.54
615,Parsley - Dried,34,6.05
616,"Sauce - Gravy, Au Jus, Mix",32,2.52
617,Mangoes,19,2.42
618,Smoked Paprika,20,2.27
619,Smoked Paprika,30,1.08
620,Cookies - Assorted,6,1.75
621,Vanilla Beans,8,0.97
622,Vanilla Beans,32,0.12
623,Jack Daniels,2,2.38
624,Cocoa Powder - Natural,17,0.99
625,"Veal - Inside Round / Top, Lean",14,0.76
626,"Doilies - 12, Paper",18,0.04
627,Shopper Bag - S - 4,14,2.1
628,Shopper Bag - S - 4,21,0.52
629,"Sugar - Sweet N Low, Individual",1,4.03
630,Shiratamako - Rice Flour,21,2.33
631,Wine - Tio Pepe Sherry Fino,34,3.93
632,"Chicken - Thigh, Bone In",3,0.14
633,Wine - Wyndham Estate Bin 777,4,0.03
634,Vol Au Vents,10,0.98
635,Vol Au Vents,22,0.35
636,Ice Cream - Strawberry,28,2.18
637,Chicken - Wieners,35,1.67
638,Foam Dinner Plate,1,1.34
639,Lobak,25,1.33
640,Sauce - Salsa,27,2.23
641,Nantucket Orange Juice,7,0.24
642,Remy Red,27,0.43
643,Jameson Irish Whiskey,30,2.42
644,Nut - Pumpkin Seeds,18,0.5
645,Nut - Pumpkin Seeds,27,1.34
646,"Beans - Black Bean, Dry",30,0.92
647,Pork - Shoulder,11,2.1
648,"Soup - Campbells, Beef Barley",7,0.54
649,"Loaf Pan - 2 Lb, Foil",12,0.56
650,Spice - Montreal Steak Spice,16,3.48
651,Sherry - Dry,9,0.23
652,Sherry - Dry,11,0.97
653,Sherry - Dry,19,2.36
654,Pie Shell - 5,34,1.66
655,"Cake Circle, Paprus",3,0.14
656,"Cake Circle, Paprus",13,0.48
657,"Vodka - Lemon, Absolut",14,1.75
658,Bread - Italian Sesame Poly,27,6.86
659,Sole - Iqf,10,0.13
660,"Soup - Knorr, Classic Can. Chili",21,1.26
661,"Soup - Knorr, Classic Can. Chili",30,2.9
662,"Wine - Red, Mouton Cadet",16,4.73
663,"Bread - Multigrain, Loaf",9,0.22
664,Tuna - Sushi Grade,7,3.48
665,Truffle Paste,27,0.56
666,"Pasta - Fettuccine, Dry",10,0.82
667,Fireball Whisky,11,0.39
668,Sugar - Icing,13,1.26
669,Sugar - Icing,21,2.28
670,Cheese - Brie,15,0.83
671,Eggroll,9,0.65
672,Eggroll,11,2.38
673,Duck - Legs,35,2.69
674,Pasta - Agnolotti - Butternut,22,0.15
675,Bols Melon Liqueur,31,1.55
676,Cheese - Comtomme,33,0.69
677,"Coconut - Shredded, Unsweet",8,0.94
678,Assorted Desserts,4,3.03
679,"Pork - Sausage, Medium",28,1.66
680,Bread - Pita,17,1.45
